"TITLE","DESCRIPTION","LINK","DOMAIN"
,,,
"Bitcoin - Open source P2P money","Bitcoin is an innovative payment network and a new kind of money. Find all you need to know and get started with Bitcoin on bitcoin.org.","https://bitcoin.org/","bitcoin.org"
"Bitcoin.com | Bitcoin News and Technology Source","Get started with Bitcoin: find a wallet, buy bitcoin, shop with bitcoin, read bitcoin news, and get involved on the forum.","https://www.bitcoin.com/","bitcoin.com"
"Bitcoin (USD) Price, Market Cap, Charts, News - CoinDesk","The CoinDesk Bitcoin Price Index provides the latest and most accurate bitcoin price using an average from the world's leading exchanges.","https://www.coindesk.com/price/","coindesk.com"
"Bitcoin - Wikipedia","Bitcoin (₿) is the world's first cryptocurrency, a form of electronic cash. :3 It is the first decentralized digital currency: the system was designed to work without a ...","https://en.wikipedia.org/wiki/Bitcoin","en.wikipedia.org"
"5 efficient ways to convert your bitcoins into cash - Worldcore",,"https://worldcore.eu/blog/5-efficient-ways-convert-bitcoins-cash/","worldcore.eu"
"5 efficient ways to convert your bitcoins into cash - Worldcore",,"https://worldcore.eu/blog/5-efficient-ways-convert-bitcoins-cash/","worldcore.eu"
"Earn Bitcoins in 8 different ways",,"earn-bitcoins.com/","earn-bitcoins.com"
"5 Easy Steps To Get Bitcoins and Learning How To Use Them",,"https://www.weusecoins.com/en/getting-started/","weusecoins.com"
"Legality of bitcoin by country or territory - Wikipedia",,"https://en.wikipedia.org/wiki/Legality_of_bitcoin_by_country_or_territory","en.wikipedia.org"
"Bitcoin price, charts, market cap, and other metrics | CoinMarketCap","Get Bitcoin price, charts, and other cryptocurrency info.","https://coinmarketcap.com/currencies/bitcoin/","coinmarketcap.com"
"Latest News on Bitcoin | Cointelegraph","Bitcoin (BTC) is known as the first open-source, peer-to-peer, digital cryptocurrency that was developed and released by a group of unknown independent ...","https://cointelegraph.com/tags/bitcoin","cointelegraph.com"
"Crypto Markets Holding Gains, With Bitcoin Above $6,500","6 hours ago - Crypto markets are more or less stable today, July 4, with Bitcoin holding above the $6500 price point.","https://cointelegraph.com/.../crypto-markets-holding-gains-with-bitcoin-above-6-500","cointelegraph.com"
"3 Bullish Signs Return For Bitcoin - Forbes","5 hours ago - After testing the 6,000 mark for a couple of weeks, Bitcoin is back big time. The “people's currency” gained close to 11% over the last seven ...","https://www.forbes.com/sites/.../2018/07/04/3-bullish-signs-return-for-bitcoin/","forbes.com"
"Beyond the Bitcoin Bubble - The New York Times","Ethereum belongs to the same family as the cryptocurrency Bitcoin, whose value has increased more than 1,000 percent in just the past year.","https://www.nytimes.com/2018/01/16/magazine/beyond-the-bitcoin-bubble.html","nytimes.com"
"The Rise and Fall of Bitcoin | WIRED","Wired follows the story of Bitcoin, the virtual currency you can actually spend—if it doesn't get stolen first.","https://www.wired.com/2011/11/mf_bitcoin/","wired.com"
"A Sidelined Wall Street Legend Bets on Bitcoin | The New Yorker","In 2013, Novogratz put seven million dollars of his own money in cryptocurrency investments when bitcoin was selling at around a hundred ...","https://www.newyorker.com/magazine/.../a-sidelined-wall-street-legend-bets-on-bitcoin","newyorker.com"
,,,
,,,
