"TITLE","DESCRIPTION","LINK","DOMAIN"
"Ethereum Project","Ethereum is a decentralized platform for applications that run exactly as programmed without any chance of fraud, censorship or third-party interference.","https://ethereum.org/","ethereum.org"
"Ethereum (ETH) price, charts, market cap, and other metrics ...","Get Ethereum price, charts, and other cryptocurrency info.","https://coinmarketcap.com/currencies/ethereum/","coinmarketcap.com"
"Ethereum (ETH) Price, Market Cap, Charts, News - CoinDesk","The CoinDesk Ethereum Price provides the latest and most accurate ethereum price collecting data from the leading exchanges.","https://www.coindesk.com/ethereum-price/","coindesk.com"
"What is Ethereum? - CoinDesk Guides","Before you can understand ethereum, it helps to first understand the internet. Today, our personal data, passwords and financial information are all largely ...","https://www.coindesk.com/information/what-is-ethereum/","coindesk.com"
"What is Ethereum? A Step-by-Step Beginners Guide [Ultimate Guide]","If you want to know what is Ethereum and how it works and what it can be used for, without going deep into the technical abyss, this guide is perfect for you.","https://blockgeeks.com/guides/ethereum/","blockgeeks.com"
"Ethereum (ETH) Price Index | $ 459.25 | Charts, History | Cointelegraph","Current ethereum price is $ 474.23. Рresent value of 1 ethereum (ETH) to dollar (USD) in real time. Charts, index, ethereum price history.","https://cointelegraph.com/ethereum-price-index","cointelegraph.com"
"Check out the Latest News on Ethereum | Cointelegraph","Read the latest news on Ethereum to stay posted about the second biggest cryptocurrency. The most recent events, price dips and jumps and more...","https://cointelegraph.com/tags/ethereum","cointelegraph.com"
"Ethereum Definition | Investopedia","Launched in 2015, Ethereum is a decentralized software platform that enables SmartContracts and Distributed Applications (ĐApps) to be built and run without ...","https://www.investopedia.com/terms/e/ethereum.asp","investopedia.com"
"Beyond the Bitcoin Bubble - The New York Times","Ethereum belongs to the same family as the cryptocurrency Bitcoin, whose value has increased more than 1,000 percent in just the past year.","https://www.nytimes.com/2018/01/16/magazine/beyond-the-bitcoin-bubble.html","nytimes.com"
"The Ethereum hard fork: Everything you need to know — Quartz","Ethereum burst onto the virtual currency scene almost a year ago. It's similar to bitcoin, but with a key difference. In addition to supporting its ...","https://qz.com/730004/everything-you-need-to-know-about-the-ethereum-hard-fork/","qz.com"
"The Uncanny Mind That Built Ethereum | WIRED","Joseph Lubin, one of the developers staying at the house, and one of the few people who seemed to understand Ethereum enough to decipher ...","https://www.wired.com/2016/06/the-uncanny-mind-that-built-ethereum/","wired.com"
,,,
,,,
